Date,Rain
8/1/2013 0:00,0.92
9/1/2013 0:00,6.32
10/1/2013 0:00,8.12
11/1/2013 0:00,3.6
12/1/2013 0:00,0.92
1/1/2014 0:00,1.16
2/1/2014 0:00,2.6
3/1/2014 0:00,2.72
4/1/2014 0:00,0.72
5/1/2014 0:00,13.44
6/1/2014 0:00,5.32
7/1/2014 0:00,2.76
8/1/2014 0:00,0.84
9/1/2014 0:00,6.04
10/1/2014 0:00,2.6
11/1/2014 0:00,3.04
12/1/2014 0:00,6.16
1/1/2015 0:00,2.56
2/1/2015 0:00,0.64
3/1/2015 0:00,6.4
4/1/2015 0:00,6.68
5/1/2015 0:00,10.16
6/1/2015 0:00,11.72
7/1/2015 0:00,0.2
8/1/2015 0:00,1.96
9/1/2015 0:00,3
10/1/2015 0:00,10.6
11/1/2015 0:00,4.24
12/1/2015 0:00,3.88
1/1/2016 0:00,3.24
2/1/2016 0:00,1.8
3/1/2016 0:00,4.6
4/1/2016 0:00,14.08
5/1/2016 0:00,8.56
6/1/2016 0:00,13.48
7/1/2016 0:00,2.44
8/1/2016 0:00,9.04
9/1/2016 0:00,1.92
10/1/2016 0:00,0.24
11/1/2016 0:00,2.64
12/1/2016 0:00,4.6
1/1/2017 0:00,6.2
2/1/2017 0:00,3.16
3/1/2017 0:00,6.64
4/1/2017 0:00,2.64
5/1/2017 0:00,2.04
6/1/2017 0:00,4.12
7/1/2017 0:00,6.96
8/1/2017 0:00,35.12
9/1/2017 0:00,1
10/1/2017 0:00,3
11/1/2017 0:00,0.28
12/1/2017 0:00,3.2
1/1/2018 0:00,3.08
2/1/2018 0:00,5
3/1/2018 0:00,4.36
4/1/2018 0:00,2.28
5/1/2018 0:00,3.04
6/1/2018 0:00,5.8
7/1/2018 0:00,6.2
8/1/2018 0:00,3.96
9/1/2018 0:00,9.4
10/1/2018 0:00,7.36
11/1/2018 0:00,2.12
12/1/2018 0:00,8.44
