Date,Rain
2/1/2008 0:00,4.2
3/1/2008 0:00,0
4/1/2008 0:00,0
5/1/2008 0:00,0
6/1/2008 0:00,0.2
7/1/2008 0:00,0.28
8/1/2008 0:00,7.8
9/1/2008 0:00,5.12
10/1/2008 0:00,0.48
11/1/2008 0:00,0
12/1/2008 0:00,0.36
1/1/2009 0:00,0.28
2/1/2009 0:00,2.4
3/1/2009 0:00,4.2
4/1/2009 0:00,12.76
5/1/2009 0:00,1.84
6/1/2009 0:00,2.84
7/1/2009 0:00,2.48
8/1/2009 0:00,0.68
9/1/2009 0:00,0
10/1/2009 0:00,12.06
11/1/2009 0:00,2.24
12/1/2009 0:00,7.03
1/1/2010 0:00,3.26
2/1/2010 0:00,4.02
3/1/2010 0:00,2.68
4/1/2010 0:00,0.98
5/1/2010 0:00,7.61
6/1/2010 0:00,4.49
7/1/2010 0:00,8.86
8/1/2010 0:00,3.59
9/1/2010 0:00,4.41
10/1/2010 0:00,0.08
11/1/2010 0:00,4.05
12/1/2010 0:00,4.61
1/1/2011 0:00,4.24
2/1/2011 0:00,0.6
3/1/2011 0:00,1.44
4/1/2011 0:00,0.04
5/1/2011 0:00,0.2
6/1/2011 0:00,1.76
7/1/2011 0:00,3.04
8/1/2011 0:00,0.08
9/1/2011 0:00,1
10/1/2011 0:00,3.28
11/1/2011 0:00,0.76
12/1/2011 0:00,3.28
1/1/2012 0:00,3.96
2/1/2012 0:00,0.12
3/1/2012 0:00,5.08
4/1/2012 0:00,2.24
5/1/2012 0:00,4.4
6/1/2012 0:00,1.84
7/1/2012 0:00,6.68
8/1/2012 0:00,4.4
9/1/2012 0:00,3.84
10/1/2012 0:00,0.4
11/1/2012 0:00,1.08
12/1/2012 0:00,1.8
1/1/2013 0:00,2.92
2/1/2013 0:00,2.6
3/1/2013 0:00,0.92
4/1/2013 0:00,4.2
5/1/2013 0:00,4.64
6/1/2013 0:00,2.08
7/1/2013 0:00,6.24
8/1/2013 0:00,4.84
9/1/2013 0:00,0.48
10/1/2013 0:00,3.92
11/1/2013 0:00,3.24
12/1/2013 0:00,1.36
1/1/2014 0:00,0.52
2/1/2014 0:00,3.64
3/1/2014 0:00,2.84
4/1/2014 0:00,1.48
5/1/2014 0:00,9.12
6/1/2014 0:00,3.32
7/1/2014 0:00,1.36
8/1/2014 0:00,3.8
9/1/2014 0:00,15.24
10/1/2014 0:00,4.4
11/1/2014 0:00,4.6
12/1/2014 0:00,6.04
1/1/2015 0:00,6.4
2/1/2015 0:00,0.56
3/1/2015 0:00,7.72
4/1/2015 0:00,10.2
5/1/2015 0:00,14.28
6/1/2015 0:00,8.68
7/1/2015 0:00,1.4
8/1/2015 0:00,6.4
9/1/2015 0:00,4.84
10/1/2015 0:00,21.6
11/1/2015 0:00,3.6
12/1/2015 0:00,3.92
1/1/2016 0:00,4.16
2/1/2016 0:00,1.6
3/1/2016 0:00,4.88
4/1/2016 0:00,7.48
5/1/2016 0:00,10.52
6/1/2016 0:00,11.2
7/1/2016 0:00,1.24
8/1/2016 0:00,12.2
9/1/2016 0:00,2.76
10/1/2016 0:00,0.16
11/1/2016 0:00,2.72
12/1/2016 0:00,3.68
1/1/2017 0:00,4.48
2/1/2017 0:00,1.6
3/1/2017 0:00,4.28
4/1/2017 0:00,1.84
5/1/2017 0:00,3.16
6/1/2017 0:00,9
7/1/2017 0:00,2.12
8/1/2017 0:00,30.16
9/1/2017 0:00,3.68
10/1/2017 0:00,4.32
11/1/2017 0:00,1.08
12/1/2017 0:00,3.04
1/1/2018 0:00,3.56
2/1/2018 0:00,5.8
3/1/2018 0:00,2.88
4/1/2018 0:00,2.32
5/1/2018 0:00,3.04
6/1/2018 0:00,4.88
7/1/2018 0:00,5.4
8/1/2018 0:00,3.64
9/1/2018 0:00,10.88
10/1/2018 0:00,7.48
11/1/2018 0:00,2.72
12/1/2018 0:00,8.76
